ID,CODE,COM,N,1,2,3,4,5,6,7,10,11,15,16,17,18,19,20,21,22,23,24,25,26,98_1,98_2,98_3
129,4116,TNS,3931,36.1,43.2,19.8,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
130,4117,KRC,2841,36.4,44.5,16.7,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,4118,R&R,3681,31.1,44.4,22.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,4119,TNS,2578,32.9,40.3,20.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,4120,TNS,2412,33.5,52.1,11.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,4121,R&R,1318,53.9,23.4,18.5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4122,R&R,2326,39.5,34.2,24.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
136,4123,TNS,1933,51.9,32.2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4124,TNS,2985,29,39.7,24.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,5.3,0,0
138,4125,TNS,2519,29.6,35.8,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4126,TNS,1600,38,36,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0
140,4127,TNS,2164,36.1,26.9,33.8,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,4128,R&R,4602,33.1,8.7,0,56.6,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,4129,TNS,3034,41.4,43.7,12.6,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0
143,4130,KRC,3305,35.9,47.4,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,4131,TNS,3703,35.1,52.3,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4132,R&R,3646,37.4,41.7,14.6,3.6,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
146,4133,TNS,2642,38.5,44,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,4134,KRC,2727,41.3,39.2,16.2,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,2.5,0,0
148,4135,TNS,3352,35.8,37.6,25,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,4136,R&R,3774,40.2,38.9,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4137,KRC,1745,32.8,52.8,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,4138,TNS,2660,45.5,41.9,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0
152,4139,R&R,3904,30.6,46.6,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,4140,KRC,2864,36.2,41.2,20.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4141,KRC,3109,31.4,44.7,22.8,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
155,4142,TNS,1921,49.3,36.6,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4143,R&R,2378,42.6,37.2,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4144,R&R,3437,28.6,53.8,16.9,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
158,4145,R&R,2537,42.6,39.2,14.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0
159,4146,TNS,4205,39.5,50.6,9.1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
160,4147,KRC,2517,34.2,53.2,11.6,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0
161,4148,KRC,2014,43,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0
162,4149,TNS,1620,54.6,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0
163,4150,KRC,1483,53.4,33.1,11.4,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0
164,4151,TNS,2714,43.1,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4152,R&R,1815,46.2,43.6,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,4153,TNS,1713,53.4,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,8.7,0
167,4154,TNS,2907,28.2,48.8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,4155,TNS,2509,32.2,50.9,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,4156,KRC,2849,49.7,50.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4157,KRC,2922,44.7,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,4158,R&R,3047,38.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4159,R&R,1300,61.1,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,4160,KRC,1345,64.7,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,4201,KRC,1819,49,47.4,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4202,TNS,2465,45.7,43.8,8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,4203,TNS,2412,45.8,43.8,9.2,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
177,4204,TNS,1571,56.4,38.8,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,4205,KRC,1494,34.1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,0,0
179,4206,KRC,1912,41.4,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,0,0
180,4207,TNS,1403,61.3,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,4208,TNS,1131,48.2,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0
182,4301,TNS,1724,49.8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0
183,4302,R&R,3850,41.8,44.3,10.8,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,4303,R&R,3017,37,46.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0
185,4304,TNS,2866,39.2,44.2,12.4,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,2.7,0,0
186,4305,R&R,1404,62.6,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,4306,TNS,1094,58.6,33.6,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,4307,TNS,1514,56.7,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,4308,R&R,1905,49.2,36.3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4401,KRC,2610,36.5,9.5,8,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,45.1,0,0
191,4402,KRC,1684,47.2,35,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0
192,4403,KRC,2483,27.1,54.6,14.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,4404,KRC,2517,29.5,50.8,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,4405,KRC,1309,48.5,45.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,4406,KRC,1253,53,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
196,4407,KRC,1598,57.8,42.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,4408,KRC,2274,34.7,47.7,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4409,TNS,1479,41.3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0
199,4410,TNS,2467,44.2,43.2,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4411,TNS,1272,42.2,39.8,16.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
201,4412,KRC,1116,40.4,29,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0
202,4501,TNS,2160,8.5,45,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0
203,4502,TNS,2426,38.5,36.2,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0
204,4503,TNS,2945,4.7,46.7,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,4504,TNS,2547,8.4,38.1,44.8,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0
206,4505,R&R,2610,9.3,50.7,36.8,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,1.3,0,0
